Artist,Song Title,Year,Tempo,Genre
Buddy Miles,0,0,130.173,blues-rock
Tanto Metro & Devonte,0,0,79.916,dancehall
Mau Mau,0,1992,162.134,progressive house
Michael McDonald,0,0,128.968,ballad
Darwin Hobbs,0,0,89.941,religious music
The Black Crowes,0,1992,97.672,blues-rock
Dee Clark,0,2000,111.422,doo-wop
Cocoa Tea,0,1992,99.894,dancehall
IYOV,0,0,104.928,digital hardcore
Claw Hammer,0,0,204.066,alternative rock
Carlos Jimenez,0,0,127.99,latin jazz
Timo Maas,0,0,76.57,progressive house
Kashief Lindo,0,0,147.659,lovers rock
The Almost,0,2008,163.975,post-hardcore
Alas,0,0,77.364,symphonic metal
Sofi Marinova,0,0,145.924,pop folk
Los Ninos De Sara,0,0,115.021,flamenco
The Gentle Good,0,0,85.118,sxsw 2007
Small Faces,0,0,115.745,rock 'n roll
Jimmy Riley,0,0,165.67,roots reggae
Backstreet Boys,0,2000,103.997,teen pop
1. Futurologischer Congress,0,0,107.711,kraut rock
Tom Collier,0,0,111.743,marimba
Heavenly,0,0,175.007,power metal
Julien Clerc,0,2000,128.549,chanson
Los Morros Del Norte,0,0,120.129,chorus
Moon Mullican,0,0,118.064,western swing
Helen Love,0,2007,195.026,power pop
Yuko Kanzaki,0,0,89.98,japanese
Moonface,0,0,130.07,progressive house
30 Seconds To Mars,0,2002,190.102,rock
Suicidal Tendencies,0,1987,235.337,hardcore punk
Grace Gale,0,2008,155.173,alternative metal
King Tee,0,0,183.437,hip hop
Alain Morisod,0,0,134.254,chill-out
Kassav',0,0,134.086,zouk
X,0,0,141.846,heavy metal
Sui Generis,0,1973,107.592,cumbia
Eminem,0,2009,131.955,hip hop
Sunnyland Slim,0,0,108.105,piano blues
Stew,0,2003,117.367,cabaret
Cauda Pavonis,0,0,180.203,new wave
Twista,0,2005,114.752,gangster rap
Geddy Lee,0,2000,119.953,instrumental rock
Planetakis,0,2007,137.936,electropop
Rick Ross,0,0,121.708,gangster rap
Seal,0,1998,153.731,dance pop
The Fureys,0,0,94.804,irish folk
Jim Jones / Max B,0,0,106.756,gangster rap
Simply Red,0,1987,83.73,pop rock
Juana Molina,0,2004,46.867,folktronica
BA(c)zu,0,0,123.294,chanson
David Meece,0,0,119.437,ccm
Ayo,0,2006,122.91,neo soul
Red Hot Chili Peppers,0,0,106.575,rap rock
Mothers Pride,0,0,79.252,funk metal
Byzantine,0,2008,198.016,groove metal
Halfway to Gone,0,2004,122.624,southern rock
Robben Ford,0,2009,126.42,blues-rock
Charlie Cruz,0,0,188.502,salsa
Jacques Douai,0,0,79.003,chanson
The Steeles,0,0,117.437,southern gospel
Sleepy John Estes,0,1993,130.889,country blues
Beherit,0,1993,141.621,illbient
Bobby Darin,0,0,81.895,brill building pop
Nick Colionne,0,2006,102.04,smooth jazz
SNAP!,0,2005,130.286,pop rap
Elliot Goldenthal,0,2000,140.629,instrumental rock
Mercedes Castro,0,0,106.083,folk
Marco Beltrami,0,2009,121.28,soundtrack
Hermeto Pascoal,0,0,179.161,latin jazz
Jedi Mind Tricks,0,0,96.054,hip hop
Joe Satriani,0,2006,197.443,instrumental rock
Michael Stanley Band,0,1975,140.654,heartland rock
Uman,0,0,160.048,chill-out
John Williams,0,0,151.444,soundtrack
The Gentle Good,0,0,111.537,sxsw 2007
Lauren Wood,0,0,168.861,soft rock
Ray Pillow,0,1998,98.015,country rock
Baby Bash,0,0,155.979,pop rap
Mariah Carey,0,2005,131.761,dance pop
Frankie J,0,2005,117.844,pop
George Nooks,0,0,85.994,dancehall
Vangelis,0,1990,119.712,progressive rock
Babylon Disco,0,2007,89.992,breakcore
Maria Bamford,0,2003,114.597,comedy
Rubyhorse,0,2002,125.898,freestyle
Tyrone Davis,0,0,104.01,chicago soul
Flora Purim,0,2001,137.823,latin jazz
THE CHIFFONS,0,1963,113.431,doo-wop
Marcie Blane,0,0,140.903,doo-wop
Atman,0,0,170.034,downtempo
Elizabeth Cotten,0,1958,99.959,ragtime
Sonora Santanera,0,0,104.284,salsa
Tommy McLain,0,0,152.294,swamp pop
Flor Silvestre,0,0,130.818,ranchera
David Lynch,0,0,131.292,jazz fusion
Ensiferum,0,2004,105.05,power metal
Eluveitie,0,2010,110.018,death metal
Dark Party,0,2008,175.948,parody
Janet Jackson,0,0,120.45,dance pop
Janice Vidal,0,0,136.887,cantonese pop
Albin Myers,0,0,127.923,progressive house
Hot Live Guys,0,0,123.087,grunge
Kanda Bongo Man,0,0,132.27,soukous
MAom,0,2004,95.576,glitch
Alex,0,0,127.979,new beat
Marvin Sapp,0,0,89.726,gospel
Eluveitie,0,0,111.127,death metal
Jo Privat,0,0,122.093,gypsy jazz
Steel Pulse,0,1978,153.052,roots reggae
Keb'Mo',0,1994,79.151,blues
Bob Marley,0,1991,127.765,reggae
Rachael Lampa,0,0,101.905,ccm
Buzzcocks,0,1978,181.421,new wave
David Zinman;Pittsburgh Symphony Orchestra,0,0,170.899,easy listening
Rickie Lee Jones,0,1989,147.736,folk rock
Cece Winans,0,0,113.636,ccm
Sofia Karlsson,0,2002,101.897,chanson
Backstreet Boys,0,2000,86.693,teen pop
Mystic Rhythms Band,0,0,140.834,chant
Epitaph,0,0,144.84,kraut rock
Rodney O_ Joe Cooley,0,1995,99.612,miami bass
Jerry Goldsmith,0,1997,130.908,soundtrack
Alexis HK,0,2004,96.082,chanson
Steve Erquiaga,0,0,116.949,smooth jazz
Robert Palmer,0,1978,119.389,blue-eyed soul
Sigmatropic,0,2007,128.006,post rock
Neon Blonde,0,2005,139.562,pop rock
Soul Ballet,0,2007,106.01,smooth jazz
Milk Inc.,0,2001,141.008,dance pop
Korn,0,1996,80.375,rap metal
Mario Piu',0,0,133.015,hard house
Joy Division,0,1980,135.066,alternative
Bob Crosby,0,0,100.317,chanson
The Frantic,0,0,112.09,hard house
Ruffneck,0,0,134.245,deep house
Devo,0,1979,155.26,rock
Sofia Karlsson,0,2009,205.16,chanson
The Perrys,0,0,45.709,christian music
Shirley Caesar,0,0,154.483,symphony
The Jets,0,0,122.954,freestyle
Dolce; Orange Factory,0,0,202.052,folk-pop
Rihanna,0,2005,85.976,dance pop
Tin Hat Trio,0,2000,144.012,chamber jazz
DJ Nasty,0,0,145.008,bass music
Bill & Gloria Gaither,0,0,75.06,country gospel
Angelo Badalamenti,0,2001,90.336,chill-out
Venice,0,0,136.861,folk-pop
Tommy Torres,0,0,165.977,reggaeton
Kanye West,0,2008,125.593,hip hop
Smash Palace,0,0,118.959,power pop
Natural Elements,0,0,107.927,hip hop
Dakis,0,0,111.946,greek
Dave Brockie Experience,0,2003,138.156,shock rock
Emotion Code,0,0,120.066,trance
Debbie Davies,0,1998,125.05,blues-rock
Matisyahu,0,2004,72.884,reggae
Bow Wow Wow,0,0,137.398,dance rock
Der Plan,0,0,30.048,experimental rock
Sergio Franchi,0,0,78.841,ballad
Ashton Shepherd,0,2008,45.508,country rock
Janet Paschal,0,0,180.121,southern gospel
Lonnie Brooks,0,0,138.386,blues-rock
I Wayne,0,2005,67.606,roots reggae
Roy Rogers,0,0,101.195,western swing
Jazzy B,0,2005,156.066,bhangra
Les Ogres De Barback,0,2004,131.509,chanson
Coffinberry,0,0,152.628,heartland rock
Janitor Joe,0,1993,160.979,math rock
Young-Holt Unlimited,0,1971,156.298,soul jazz
Charlie Peacock,0,1999,153.968,ccm
Brent Lamb,0,0,110.0,country gospel
George Lopez,0,0,126.792,california
Rokia TraorA(c),0,2008,109.804,afrobeat
Vodka Collins,0,0,143.095,glam rock
Mastodon,0,2004,145.997,alternative metal
Joe Rogan,0,2010,134.112,comedy
Brenda Boykin,0,2008,86.684,nu jazz
Tom Cochrane,0,1992,88.072,heartland rock
Erik Berglund,0,0,64.901,folk-pop
Red Hot Chili Peppers,0,1985,111.541,rap rock
James Newton Howard,0,1997,88.662,instrumental pop
Faith Yang,0,2009,136.984,singer-songwriter
Roger Reynolds,0,0,60.013,serialism
Toots Thielemans,0,1955,68.326,latin jazz
SOJA,0,0,124.771,roots reggae
Jim Reeves,0,1990,91.318,country gospel
The Del McCoury Band,0,0,177.945,bluegrass
Les Hou-Lops,0,0,102.77,freakbeat
Ketty DB,0,0,129.974,eurodance
Jeff And Sheri Easter,0,0,110.209,southern gospel
Sonic Subjunkies,0,0,96.972,jungle music
Gov't Mule,0,2009,196.141,jam band
Ray Conniff,0,0,82.752,instrumental pop
Sir Douglas Quintet,0,0,85.2,blues-rock
Michelle Tumes,0,0,107.932,ccm
Major Lance,0,1963,119.712,neo soul
Bad Azz,0,2003,121.871,gangster rap
Kitty Wells,0,0,105.732,honky tonk
Defect & Quixotic,0,2008,102.008,turnablism
Mario Rosenstock,0,0,84.769,irish
Rockin' Dopsie_ Jr.,0,0,104.448,zydeco
Static-X,0,0,129.97,industrial metal
She Satellites,0,1999,185.76,future jazz
Saman,0,0,141.205,folk metal
Smart Alex,0,0,0.0,progressive house
OutKast,0,1994,177.662,dirty south rap
Michael Jackson,0,1987,131.319,motown
Bukka White,0,0,87.557,delta blues
AFS,0,0,120.984,hardcore punk
Jim Reeves,0,1994,151.73,country gospel
Wet Wet Wet,0,0,105.95,blue-eyed soul
Tsar,0,2005,150.23,freestyle
Martin Sexton,0,2005,90.099,blue-eyed soul
Elliot Goldenthal,0,2000,177.465,instrumental rock
Dave Valentin,0,0,125.294,latin jazz
Casual,0,0,92.571,hip hop
Jimmy Burns,0,0,138.755,soul blues
"Claire ElziA""re",0,0,90.073,indie
Dino,0,0,134.279,ccm
Luke Vibert,0,2007,125.008,trip hop
Ice,0,0,111.046,dub
Spiral Stairs,0,2009,100.088,indie rock
Rea_ Chris,0,1999,131.948,soft rock
Scar Symmetry,0,2006,120.022,death metal
Tito Puente,0,1993,146.24,salsa
Silverchair,0,1997,91.922,post-grunge
Willie Bobo,0,0,80.391,latin jazz
Lifehouse,0,2005,164.002,post-grunge
Carlos Ponce,0,1999,98.501,male vocalist
Ricardo Arjona,0,0,93.376,latin
Tyrone Wells,0,2005,151.699,folk-pop
B.B. King,0,2002,151.284,blues-rock
John Sebastian,0,0,103.666,folk rock
Andre Verchuren,0,0,197.704,chanson
Scar Symmetry,0,2008,110.107,death metal
Concretes,0,2007,89.676,pop rock
Izzy Stradlin And The Ju Ju Hounds,0,1992,150.404,blues-rock
Don Campbell,0,0,157.897,pop rap
David Lynch,0,0,166.929,jazz fusion
Cotton Candy,0,0,139.026,cabaret
Frank Marino & Mahogany Rush,0,0,139.499,blues-rock
John Wayne,0,0,160.663,dancehall
The Incurables,0,0,63.359,heartland rock
Bert Kaempfert,0,1996,118.971,easy listening
H-Town,0,0,167.988,new jack swing
Voyager Series,0,0,71.308,irish folk
JERRY WALLACE,0,0,219.298,doo-wop
Beenie Man Featuring Janet Jackson,0,2002,102.828,dancehall
Georges Brassens,0,1956,126.31,chanson
Morgion,0,1997,112.063,sludge metal
4Him,0,0,182.247,ccm
Wild Horses,0,0,111.989,outlaw country
David Meece,0,0,81.404,ccm
Freddie King,0,1960,134.741,texas blues
Danny Wilson,0,1989,91.256,british pop
Malefaction,0,0,84.303,grindcore
Jope Ruonansuu,0,0,86.992,parody
Marcie Blane,0,0,102.881,doo-wop
Charlie Walker,0,0,161.533,honky tonk
Slum Village,0,0,94.495,hip hop
Twista,0,0,100.016,gangster rap
Francis Dunnery,0,0,84.186,singer-songwriter
Perrey And Kingsley,0,1968,125.767,easy listening
Youves,0,0,134.104,dance-punk
Maurice Larcange,0,0,84.133,chanson
Mau Mau,0,2004,182.198,progressive house
Cats In Boots,0,0,167.142,glam metal
Firehouse,0,1990,169.866,glam metal
The Panic Channel,0,2006,147.975,post-grunge
Chris Standring,0,2003,111.039,smooth jazz
El Gran Silencio,0,0,115.005,cumbia
Ismael DueA+-as,0,0,100.275,nu jazz
The Galactic Heroes,0,2000,187.323,twee pop
FU-Schnickens,0,1992,102.739,comedy rap
Sonny Terry & Brownie McGhee,0,0,108.188,piedmont blues
Bad Azz,0,0,120.716,gangster rap
AnanA(c),0,0,125.016,deep house
Rocker-T,0,0,149.939,dub
Ana Popovic,0,2007,156.948,blues-rock
BA(c)zu,0,0,126.482,chanson
Baby D,0,0,90.038,breakbeat
Gertrudis,0,2003,111.953,big beat
Emilio,0,0,145.343,tejano
Lunasicc,0,0,105.207,gangster rap
Juelz Santana / Bezel,0,2005,104.99,rap
The Fontane Sisters,0,0,85.261,europop
Tiny Tim,0,0,117.236,cabaret
The Cure,0,2001,135.038,new wave
I Nuovi Angeli,0,0,85.375,celtic fusion
Jean-Jacques Goldman,0,1985,119.035,chanson
Eddie Turner,0,2005,93.99,blues-rock
Joshua Rifkin,0,1994,128.251,ragtime
Art Blakey's Jazz Messengers,0,0,144.737,bebop
Paul Glazby,0,2001,149.864,hard house
White Heart,0,0,99.374,ccm
Barbara Lusch,0,0,171.463,jazz
Patti Smith,0,1996,146.454,rock
Saga,0,0,101.303,hard rock
Gary Hobbs,0,0,104.12,tejano
Vrse Murphy,0,0,97.015,dj
C.C. Adcock,0,2004,116.009,zydeco
John Mayall & The Bluesbreakers,0,2010,133.072,blues-rock
The Fabulous Thunderbirds,0,1986,125.676,blues-rock
2 Minutos,0,1994,105.498,skate punk
Michelle Tumes,0,0,88.023,ccm
Luke Bryan,0,2009,147.904,country rock
Thriller U,0,0,89.675,lovers rock
Alex,0,0,98.974,new beat
Rocio Jurado,0,0,168.268,bulerias
Lennie Tristano,0,0,89.868,free jazz
Dead Kennedys,0,1980,108.977,rock
R.L. Burnside,0,1997,95.56,delta blues
Cut Copy,0,2004,119.562,alternative dance
Tim Wilson,0,0,137.828,filk
Salt The Wound,0,2008,120.502,death core
The Cars,0,1984,111.319,new wave
Van Halen,0,0,117.954,heavy metal
De La Soul / MF Doom,0,2004,86.813,hip hop
Shriekback,0,1986,157.956,alternative dance
At All Cost,0,0,135.914,post-hardcore
Mississippi Mass Choir,0,0,115.906,gospel
Utopia,0,0,98.528,new beat
The Ruby Suns,0,2005,42.525,experimental rock
Schoolyard Heroes,0,0,131.83,horror punk
Malkit Singh,0,0,161.543,broken beat
Mannheim Steamroller,0,2008,154.695,instrumental pop
Wolfmother,0,2004,141.769,stoner metal
John Tchicai,0,0,149.005,free jazz
Suicidal Tendencies,0,1992,164.925,hardcore punk
Bert Kaempfert,0,0,122.155,easy listening
ColdWorld,0,2008,134.832,black metal
The Chap,0,2010,120.188,future jazz
David Banner,0,2003,99.487,crunk
The Rapture,0,2006,119.813,alternative dance
Paul Cantelon,0,2008,41.133,folk rock
Ice,0,0,93.937,dub
Richard Lloyd,0,1979,159.081,garage rock
Adam Ant,0,1982,183.907,pop rock
June Hutton,0,0,88.95,space age pop
Rainbow,0,1981,155.999,heavy metal
Marc Et Claude,0,0,136.964,trip hop
Leroy Hutson,0,0,192.66,jazz funk
Pee Wee Crayton,0,0,97.487,texas blues
FlA$?skkvartetten / ThAY=strAPm,0,0,130.255,art rock
Gabinete Caligari,0,0,74.884,pop rock
Marc Perrone,0,0,107.728,musette
Ancient Astronauts,0,2009,136.044,trip hop
Basic Channel,0,1994,71.416,techno
Symphony in Peril,0,2005,100.034,christian hardcore
Usher,0,2008,147.979,hip hop
Greg Vaccariello,0,0,74.728,stand-up comedy
Wailing Souls,0,0,130.427,roots reggae
J.C. Lodge,0,0,152.516,lovers rock
Mike Brooks,0,0,139.202,roots reggae
Kathy Mattea,0,1991,96.695,bluegrass
This Moment,0,0,116.081,math rock
Varios,0,0,100.929,electroclash
The Fabulous Thunderbirds,0,1991,133.349,blues-rock
The Perrys,0,0,107.905,christian music
Small Faces,0,1966,125.295,rock 'n roll
Enter the Haggis,0,1999,134.819,celtic rock
The Chi-Lites,0,0,90.101,disco
George Lopez,0,2001,118.06,california
Jerry Lewis,0,1995,124.877,rock steady
Stephen Marley / Damian Marley,0,2006,165.886,roots reggae
Charlie Khan,0,0,92.55,cabaret
Red I Flight,0,2008,120.617,death core
White Heart,0,0,162.817,ccm
Jo-El Sonnier,0,0,145.218,bluegrass
Steinski,0,2003,185.325,hip hop
Chuck Wicks,0,2008,99.124,country
Yahir,0,0,127.469,brutal death metal
Lexi,0,0,130.052,broken beat
Cali,0,2008,127.792,dance pop
Tommy Sands,0,0,101.324,rockabilly
BeyoncA(c),0,2007,87.992,hip hop
DJ Harry,0,2004,181.371,trip hop
Babbie Mason,0,0,141.042,ccm
Rated R,0,0,104.993,breakbeat
Diamanda Galas,0,1993,168.352,no wave
Black Eyed Peas / Terry Dexter,0,2000,103.652,hip hop
Beenie Man,0,2006,159.248,dancehall
Be Bop Deluxe,0,1975,142.88,art rock
Rolfe Kent,0,0,119.71,soundtrack
Nu Flavor,0,0,96.057,hard house
Maurice Chevalier,0,2000,130.275,chanson
ISRAEL & NEW BREED,0,0,93.773,ccm
P.O.D.,0,0,125.528,alternative metal
Reel Big Fish,0,0,91.463,ska punk
Mystery,0,0,171.787,hard house
Jacques Douai,0,0,103.12,chanson
Eko Fresh,0,2007,167.59,pop rap
Buju Banton,0,1993,85.988,roots reggae
Jacques Douai,0,0,77.645,chanson
Bill Douglas,0,1993,192.819,chamber jazz
BeyoncA(c),0,2006,113.812,hip hop
Alvin YoungbloodA Hart,0,1998,195.223,blues-rock
Gene Chandler,0,0,175.028,chicago soul
Legacy Five,0,0,69.169,country gospel
The Del McCoury Band,0,2006,140.9,bluegrass
Christos Dantis,0,0,126.976,pop rock
Walter Jackson; Arranged & conducted by Riley Hampton,0,0,43.967,northern soul
J Bostron & Beretta,0,0,87.122,jungle music
Mark Ashley,0,0,129.987,hard trance
Cindy Morgan,0,0,112.248,ccm
Deathstar,0,0,140.202,straight edge
Generation X,0,0,174.524,punk
Vanessa Daou,0,1996,144.975,chill-out
Laidback Luke & Diplo,0,0,126.94,tech house
Joe Satriani,0,1987,83.957,instrumental rock
Steve Vai,0,1996,227.161,instrumental rock
Burning Spear,0,1980,125.245,roots reggae
The Edgar Broughton Band,0,0,59.678,protopunk
Aleks Syntek,0,0,120.309,merengue
Los Del Rio,0,1993,206.02,dance pop
Wes King,0,0,118.152,ccm
Teijo Joutsela and Humppa-Veikot,0,0,120.012,humppa
Moon Mullican,0,0,182.408,western swing
Jefferson Starship,0,1999,132.611,hard rock
Ronny Eriksson,0,0,111.927,stand-up comedy
John Mayall,0,2007,147.128,blues-rock
Gary Moore,0,1992,86.321,blues-rock
Spiral Stairs,0,2009,152.633,indie rock
Attack Attack,0,0,100.03,screamo
Gym Class Heroes,0,2006,80.473,hip hop
Mighty Mighty Bosstones,0,1989,197.213,ska punk
The Booth Brothers,0,0,130.98,country gospel
Vivian Khor,0,0,92.017,meditation
Anne Dudley,0,2000,172.223,trip hop
The Mustangs,0,0,117.044,country rock
Michael Jackson,0,1975,187.427,motown
Marc Shaiman,0,2008,136.975,soundtrack
Paul Simon,0,0,133.884,singer-songwriter
K-OS,0,2004,97.98,trip hop
Eberhard Weber,0,1993,99.556,free jazz
Jimmy Herring,0,2008,124.073,jazz fusion
The Continentals,0,0,90.245,samba
Neil Diamond,0,1972,127.275,soft rock
The Chieftains;Colin James,0,1992,114.589,irish folk
45 Grave,0,1989,114.135,deathrock
Joe Turner_ Joe Houston_ L. C. Williams,0,0,70.49,jump blues
J.B. Lenoir,0,1995,129.583,chicago blues
Screaming Jay Hawkins,0,0,172.112,rock 'n roll
The Sun Harbor's Chorus-Documentary Recordings,0,0,56.958,patriotic
Set Your Goals,0,0,203.211,pop punk
Tesla,0,1986,128.262,hard rock
Charlie Rich,0,1997,96.243,rockabilly
Claw Hammer,0,0,77.478,alternative rock
The Ataris,0,2003,145.711,pop punk
Sharon Burch,0,0,114.832,folk rock
The Field Mice,0,1990,70.09,twee pop
Taboo,0,0,140.068,new beat
Billy Higgins_ Bob Berg_ Cedar Walton_ Tony Dumas,0,0,69.742,hard bop
Koffi OlomidA(c),0,0,120.807,zouk
White Heart,0,0,126.153,ccm
Singing Melody,0,0,166.72,dancehall
Svartthron,0,0,90.126,black metal
The Rolling Stones,0,1964,185.333,blues
The Rongetz Foundation,0,0,91.417,afrobeat
Kassav',0,2000,97.999,zouk
Fall Out Boy,0,2008,114.535,pop punk
Bob Marley & The Wailers,0,0,122.565,reggae
Claude FranASSois,0,1994,134.237,chanson
Elephant Man,0,0,125.329,dancehall
The Cate Brothers,0,0,147.093,roots rock
Tracy Byrd,0,0,168.849,honky tonk
Jean Segurel,0,0,135.561,chanson
Fran Perea,0,2005,180.04,celtic
Maria Muldaur,0,0,137.272,dance pop
Santana,0,0,93.366,blues-rock
Mustafa Sandal,0,0,170.047,eurodance
Johannes Linstead,0,2003,115.049,meditation
Dorothy Norwood,0,0,99.113,blues
Cinder,0,2006,120.122,post-grunge
Fania All Stars,0,0,153.316,latin jazz
Otis Spann,0,1990,99.463,piano blues
Kool Moe Dee,0,1989,83.856,hip hop
Lee Ritenour,0,1979,164.594,instrumental pop
Big John Greer,0,1992,159.939,jump blues
Jaguares,0,2001,119.09,latin pop
Oak Ridge Boys,0,0,105.044,classic country
The Tragically Hip,0,2009,122.926,roots rock
Carman featuring Commissioned & The Christ Church Choir,0,0,135.507,ccm
Reni,0,0,130.027,pop folk
Raphael,0,0,120.101,chanson
Sammi Cheng,0,0,119.101,cantonese pop
Fiona,0,0,157.759,chinese music
Cargo Cult,0,2004,95.995,noise rock
Lord Sterling,0,2004,141.769,stoner metal
Forensics,0,0,137.883,dubstep
Gerard Lenorman,0,1989,112.192,chanson
Cama,0,2009,185.981,los angeles
Anat Ben David,0,0,110.579,tech house
Arturo Sandoval,0,1997,139.944,latin jazz
Novika,0,2006,90.017,deep house
Eldar,0,0,140.608,dark ambient
Oldelaf et Monsieur D,0,2006,127.605,los angeles
Eason Chan,0,0,73.438,cantonese pop
The Fabulous Thunderbirds,0,1996,148.452,blues-rock
Hey Colossus,0,2007,104.819,stoner metal
Sonora Carruseles,0,1999,60.159,salsa
Eddy Raven,0,0,105.966,zydeco
Finntroll,0,2001,110.972,heavy metal
Tanto Metro & Devonte,0,0,87.697,dancehall
Bounty Killer,0,2001,142.749,dancehall
Mobb Deep featuring Nate Dogg,0,2004,91.562,gangster rap
DJ Spinn and DJ Rashad,0,0,160.04,chicago house
Jose Luis Perales,0,1979,98.679,latin pop
El Poder del Norte,0,0,171.849,tango
Tony Matterhorn,0,2006,127.493,reggaeton
Story Of The Year,0,2010,143.837,screamo
Brazilian Tropical Orchestra,0,0,135.894,bossa nova
Kisha,0,1998,199.917,soft rock
Ana Nikolic,0,0,145.893,pop folk
Tyrone Taylor,0,0,159.728,lovers rock
4 Skins,0,0,101.962,oi
Robben Ford,0,1997,114.681,blues-rock
White Heart,0,0,125.881,ccm
Zapp,0,0,110.444,funk
Ximena Sarinana,0,0,169.105,nu jazz
Busta Rhymes,0,2002,146.971,hip hop
Fontella Bass,0,1992,101.469,northern soul
Rhinostar,0,0,89.954,rock
Old Man's Child,0,1998,95.138,sympho black metal
Red Hot Chili Peppers,0,1999,112.961,rap rock
Patty Griffin,0,1996,95.738,folk-pop
Satan's Host,0,2006,136.474,heavy metal
Aeoliah,0,2007,126.976,meditation
Eric Demarsan,0,0,108.11,smooth jazz
Mississippi Mass Choir,0,0,163.35,gospel
Space Opera,0,0,95.736,new beat
Through the Eyes of the Dead,0,2005,97.802,death core
Johnny Otis,0,0,94.961,jump blues
Finest Dearest,0,2008,121.03,indie rock
Jazz Gillum,0,0,179.269,chicago blues
Neema,0,0,136.223,folk-pop
Sound 5,0,0,243.994,breakbeat
Jorgen Ingmann,0,0,160.451,space age pop
Sean Callery,0,2008,121.153,soundtrack
Jesus Otero - Luny Tunes,0,0,96.024,requiem
Gran Coquivacoa,0,0,137.939,gaita
Fergie,0,0,91.02,pop rap
The Doors,0,1967,121.744,classic rock
Erick Sermon,0,1993,197.741,hip hop
40 Grit,0,2003,148.234,nu metal
Bob Azzam,0,0,121.649,chanson
Scott Glasgow,0,2007,77.115,contemporary classical music
Poncho Sanchez,0,1987,221.81,latin jazz
Livingston Taylor,0,0,153.033,soft rock
Papa Wemba,0,1992,134.201,soukous
Fortitude,0,0,88.025,modern rock
R. Carlos Nakai,0,0,158.152,chamber jazz
Onyx,0,2002,164.981,hip hop
Jennifer Lopez,0,2007,201.792,dance pop
Joe Grushecky,0,0,109.997,heartland rock
THE CHIFFONS,0,1963,88.808,doo-wop
Spitfire,0,0,155.056,happy hardcore
Equilibrium,0,0,180.12,black metal
Martha Wainwright,0,2005,153.396,folk-pop
The Rolling Stones,0,1972,141.808,blues
Ms. Dynamite,0,2005,109.287,grime
Ronny Eriksson,0,0,115.079,stand-up comedy
Kat DeLuna,0,0,104.986,dance pop
Atom,0,0,126.953,tech house
Artie Fishel & The Promised Band,0,0,155.329,ghetto tech
Johnny Horton,0,1996,87.653,country rock
Fat Joe,0,0,172.279,gangster rap
Jerry Yan,0,0,125.506,chinese music
L.A. Guns,0,1992,133.624,heavy metal
Demonbreed,0,0,164.137,thrash core
XLNC,0,0,187.926,bhangra
Champion Jack Dupree With TS McPhee,0,0,87.062,piano blues
Enrique Iglesias,0,1995,141.22,dance pop
Britt Nicole,0,0,160.015,ccm
Esa Pakarinen,0,1990,171.876,oldies
Claire Hamill,0,0,122.693,new age
The Plasmatics,0,1981,119.38,trip hop
Connie Smith,0,2001,141.553,country gospel
Scalplock,0,0,110.499,grindcore
The Grease Band,0,1971,174.96,swamp rock
Amy Lambert,0,0,108.533,country gospel
Torcuato Mariano,0,2006,180.191,meditation
Dobby Dobson,0,0,163.957,rock steady
Baby Bash / Grimm,0,2003,89.478,pop rap
Chops,0,0,181.747,jazz rap
Carl Smith,0,1990,113.726,honky tonk
Rise Against,0,2006,109.45,hardcore punk
Martriden,0,2006,83.914,blackened death metal
Fredi,0,1977,121.117,ballad
Sandy Lam,0,0,98.991,chinese music
Patsy Cline,0,1995,91.637,country rock
All Leather,0,0,150.982,digital hardcore
D:Fuse,0,2004,131.877,progressive house
Janet Jackson,0,1993,61.878,dance pop
Dokken,0,2008,124.285,heavy metal
James Newton Howard,0,2007,129.113,instrumental pop
Daryl Hall & John Oates,0,1988,99.973,pop rock
Bad Company,0,1986,127.592,blues-rock
Max Steiner,0,0,144.404,soundtrack
Angel Romero,0,0,78.281,tech house
Humble Pie,0,0,120.563,blues-rock
Gaetano Donizetti,0,0,122.423,bel canto
Incubus,0,2001,161.697,funk metal
Juliette & The Licks,0,2005,156.523,post-grunge
Aesop Rock,0,2003,57.332,underground rap
Paul Avgerinos,0,2006,119.897,chill-out
Phil Collins,0,0,97.649,soft rock
Bangalafumenga,0,0,77.41,batucada
Bryan Ferry,0,1994,125.978,glam rock
Angels,0,0,102.967,hard rock
Barbara Fairchild,0,0,115.126,country gospel
The Balustrade Ensemble,0,2007,118.311,trip hop
Prince,0,0,119.956,dance rock
Santana,0,0,107.542,blues-rock
Diego Verdaguer,0,0,120.03,latin jazz
Teenage Fanclub,0,2003,120.271,power pop
Cavo,0,0,121.029,post-grunge
Bruisers,0,0,114.61,oi
The Highwaymen,0,0,153.04,folk-pop
Joselito,0,0,98.096,chanson
Bill Laswell,0,0,137.934,future jazz
AFI,0,2006,170.046,post-hardcore
Lil Mz. 313 featuring DJ Rashad,0,0,160.084,ghetto tech
Juan Carlos Baglietto,0,0,120.101,tango
Hatebreed (int License),0,2003,134.804,hardcore punk
La Portuaria,0,2005,120.006,disco
Conjunto Clasico,0,0,91.871,salsa
Snowgoons,0,2009,94.146,los angeles
Warren Barfield,0,2006,196.13,ccm
Ayo,0,2006,185.89,neo soul
Vitamin C,0,1999,117.198,teen pop
Jah Legacy,0,0,105.985,roots reggae
R. Carlos Nakai,0,0,157.381,chamber jazz
Bob Marley,0,1996,201.953,reggae
Margaret Becker,0,0,121.147,ccm
The Cufflinks,0,0,138.425,pop rock
